sample_name,Assey_Type,AvgSpotLen,Bases,BioProject,BioSample,Size,Colection_Date,Consent,Experiment,ScientificName,Specie,Zootechnic_mangement,Flowering_type,Contry,Continent,City,Latitud,Longitud,Model,LibraryName,LibrarySource,SRAStudy,Platform,ID,LibraryLayout,CenterName,Notas
SRR12632474,WGS,219,648837669,PRJNA662672,SAMN16092491,244 Mb,01/08/2018,public,SRX9114723,honey metagenome,not colected,not colected,not colected,Sweden,Europa,Granna,58.01,14.57,NextSeq 500,NSE10_S37_,GENOMIC,SRP281932,ILLUMINA,NSE10,PAIRED,UNIVERSITY OF HELSINKI,
SRR12632473,WGS,196,549442536,PRJNA662672,SAMN16092492,206 Mb,01/08/2018,public,SRX9114724,honey metagenome,not colected,not colected,not colected,Sweden,Europa,Vanga,58.58,15.81,NextSeq 500,NSE11_S38_,GENOMIC,SRP281932,ILLUMINA,NSE11,PAIRED,UNIVERSITY OF HELSINKI,
SRR12632472,WGS,147,299573440,PRJNA662672,SAMN16092493,113 Mb,01/08/2018,public,SRX9114725,honey metagenome,not colected,not colected,not colected,Sweden,Europa,Vagdalen,63.58,16.28,NextSeq 500,NSE12_S39_,GENOMIC,SRP281932,ILLUMINA,NSE12,PAIRED,UNIVERSITY OF HELSINKI,
SRR12632471,WGS,193,435017054,PRJNA662672,SAMN16092494,163 Mb,01/08/2018,public,SRX9114726,honey metagenome,not colected,not colected,not colected,Sweden,Europa,Vagdalen,63.58,16.28,NextSeq 500,NSE13_S40_,GENOMIC,SRP281932,ILLUMINA,NSE13,PAIRED,UNIVERSITY OF HELSINKI,
SRR12632480,WGS,238,937494362,PRJNA662672,SAMN16092471,351 Mb,01/08/2018,public,SRX9114717,honey metagenome,not colected,not colected,not colected,Estonia,Europa,Laane,58.31,26.65,NextSeq 500,NES17_S17_,GENOMIC,SRP281932,ILLUMINA,NES17,PAIRED,UNIVERSITY OF HELSINKI,
SRR12632479,WGS,209,2021658819,PRJNA662672,SAMN16092486,763 Mb,01/08/2018,public,SRX9114718,honey metagenome,not colected,not colected,not colected,Sweden,Europa,Saltsjobaden,59.26,18.33,NextSeq 500,NSE05_S32_,GENOMIC,SRP281932,ILLUMINA,NSE05,PAIRED,UNIVERSITY OF HELSINKI,
SRR12632478,WGS,223,854453998,PRJNA662672,SAMN16092487,318 Mb,01/08/2018,public,SRX9114719,honey metagenome,not colected,not colected,not colected,Sweden,Europa,Saltsjobaden,59.26,18.33,NextSeq 500,NSE06_S33_,GENOMIC,SRP281932,ILLUMINA,NSE06,PAIRED,UNIVERSITY OF HELSINKI,
SRR12632477,WGS,206,526273777,PRJNA662672,SAMN16092488,197 Mb,01/08/2018,public,SRX9114720,honey metagenome,not colected,not colected,not colected,Sweden,Europa,Vaggeryd,57.49,14.15,NextSeq 500,NSE07_S34_,GENOMIC,SRP281932,ILLUMINA,NSE07,PAIRED,UNIVERSITY OF HELSINKI,
SRR12632476,WGS,198,538250566,PRJNA662672,SAMN16092489,204 Mb,01/08/2018,public,SRX9114721,honey metagenome,not colected,not colected,not colected,Sweden,Europa,Kimsta,59.61,18.01,NextSeq 500,NSE08_S35_,GENOMIC,SRP281932,ILLUMINA,NSE08,PAIRED,UNIVERSITY OF HELSINKI,
SRR12632485,WGS,165,423267045,PRJNA662672,SAMN16092481,161 Mb,01/08/2018,public,SRX9114712,honey metagenome,not colected,not colected,not colected,Finland,Europa,Helsinki,64.02,24.68,NextSeq 500,NFI27_S27_,GENOMIC,SRP281932,ILLUMINA,NFI27,PAIRED,UNIVERSITY OF HELSINKI,
SRR12632484,WGS,217,665084720,PRJNA662672,SAMN16092482,254 Mb,01/08/2018,public,SRX9114713,honey metagenome,not colected,not colected,not colected,Sweden,Europa,Drasa,58.72,15.43,NextSeq 500,NSE01_S28_,GENOMIC,SRP281932,ILLUMINA,NSE01,PAIRED,UNIVERSITY OF HELSINKI,
