Bin Id	Marker lineage	# genomes	# markers	# marker sets	Completeness	Contamination	Strain heterogeneity	Genome size (bp)	# ambiguous bases	# scaffolds	# contigs	N50 (scaffolds)	N50 (contigs)	Mean scaffold length (bp)	Mean contig length (bp)	Longest scaffold (bp)	Longest contig (bp)	GC	GC std (scaffolds > 1kbp)	Coding density	Translation table	# predicted genes	0	1	2	3	4	5+
22_Melli.029	Bacteria	5449	104	58	25.94	21.55	21.88	12862574	0	5631	5631	2453	2453	2284	2284	78665	78665	31.3	1.89	80.97	11	17335	59	40	2	1	1	1
22_Melli.030	Bacteria	5449	104	58	1.88	0.16	0.00	5835548	0	2884	2884	2089	2089	2023	2023	57630	57630	35.3	2.67	93.96	11	4157	102	1	1	0	0	0
22_Melli.031	Bacteria	5449	104	58	87.51	49.48	0.00	10148495	0	4883	4883	2234	2234	2078	2078	25493	25493	26.6	2.10	75.17	11	14137	35	43	23	1	1	1
22_Melli.032	Bacteria	5449	104	58	3.40	1.18	100.00	1498230	0	569	569	3128	3128	2633	2633	26549	26549	45.2	2.36	45.25	11	2285	98	3	3	0	0	0
22_Melli.033	Bacteria	5449	104	58	91.07	54.46	16.10	7064384	0	3389	3389	2124	2124	2084	2084	50365	50365	36.4	2.55	73.86	11	9223	7	41	41	7	6	2
22_Melli.034	Bacteria	5449	104	58	0.47	0.00	0.00	1152213	0	772	772	1381	1381	1492	1492	7571	7571	40.8	2.32	83.30	4	1588	101	3	0	0	0	0
23_Scapto.001	Bacteria	5449	104	58	93.10	1.72	0.00	1242627	0	64	64	29423	29423	19416	19416	83720	83720	33.1	2.97	87.37	11	1233	4	99	1	0	0	0
23_Scapto.002	Bacteria	5449	104	58	98.28	1.72	0.00	1279089	0	75	75	33369	33369	17054	17054	234131	234131	29.2	4.01	86.91	11	1291	1	102	1	0	0	0
23_Scapto.003	Bacteria	5449	104	58	5.17	0.00	0.00	283420	0	72	72	6423	6423	3936	3936	41534	41534	31.7	4.69	81.46	11	333	101	3	0	0	0	0
23_Scapto.004	Bacteria	5449	104	58	1.72	0.00	0.00	137475	0	63	63	2427	2427	2182	2182	10231	10231	32.9	3.69	80.20	11	169	103	1	0	0	0	0
23_Scapto.005	Bacteria	5449	104	58	0.00	0.00	0.00	223276	0	35	35	10274	10274	6379	6379	46842	46842	43.8	4.52	80.80	11	232	104	0	0	0	0	0
23_Scapto.006	Bacteria	5449	104	58	0.00	0.00	0.00	321492	0	145	145	2548	2548	2217	2217	8305	8305	28.5	4.04	75.44	11	398	104	0	0	0	0	0
23_Scapto.007	Bacteria	5449	104	58	34.64	0.00	0.00	1271733	0	369	369	4882	4882	3446	3446	68078	68078	34.5	6.12	80.32	11	1413	52	52	0	0	0	0
23_Scapto.008	Bacteria	5449	104	58	90.54	31.90	39.13	2484712	0	638	638	5452	5452	3894	3894	26090	26090	36.5	5.54	87.26	11	2751	23	62	17	2	0	0
