BioSample,SRA,Geographic location,Latitude,Longitude
SAMN42493107,SRS21995940,Estonia,,
SAMN42493108,SRS21995941,Estonia,,
SAMN42493109,SRS21995866,Estonia,,
SAMN42493110,SRS21995876,Estonia,,
SAMN42493111,SRS21995879,Greece,,
SAMN42493112,SRS21995867,Kazakhstan,,
SAMN42493119,SRS21995953,Ukraine,,
SAMN42493120,SRS21995859,Estonia,,
SAMN42493121,SRS21995861,Estonia,,
SAMN42493122,SRS21995862,Estonia,,
SAMN42493123,SRS21995863,Estonia,,
SAMN42493124,SRS21995864,Estonia,,
SAMN42493125,SRS21995865,Estonia,,
SAMN42493126,SRS21995955,Estonia,,
SAMN42493127,SRS21995959,Estonia,,
SAMN42493128,SRS21995952,Estonia,,
SAMN42493129,SRS21995869,Estonia,,
SAMN42493130,SRS21995868,Estonia,,
SAMN42493131,SRS21995695,Estonia,,
SAMN42493132,SRS21995694,Estonia,,
SAMN42493133,SRS21995693,Spain,,
SAMN42493134,SRS21995692,Latvia,,
SAMN42493135,SRS21995691,Latvia,,
SAMN42493136,SRS21995689,Latvia,,
SAMN42493140,SRS21995966,Estonia,,
SAMN42493141,SRS21995963,Estonia,,
SAMN42493142,SRS21995962,Estonia,,
SAMN42493143,SRS21995961,Estonia,,
SAMN42493144,SRS21995964,Estonia,,
SAMN42493145,SRS21995965,Estonia,,
SAMN42493146,SRS21995696,Estonia,,
SAMN42493147,SRS21995697,Estonia,,
SAMN42493148,SRS21995698,Estonia,,
SAMN42493149,SRS21995885,Estonia,,
SAMN42493150,SRS21995884,Estonia,,
SAMN42493151,SRS21995886,Estonia,,
SAMN42493152,SRS21995896,Estonia,,
SAMN42493153,SRS21995898,Estonia,,
SAMN42493154,SRS21995699,Estonia,,
SAMN42493155,SRS21995700,Estonia,,
SAMN42493156,SRS21995702,Estonia,,
SAMN42493157,SRS21995703,Estonia,,
SAMN42493158,SRS21995704,Estonia,,
SAMN42493159,SRS21995870,Estonia,,
SAMN42493160,SRS21995871,Estonia,,
SAMN42493161,SRS21995872,Estonia,,
SAMN42493162,SRS21995873,Estonia,,
SAMN42493163,SRS21995874,Estonia,,
SAMN42493164,SRS21995875,Estonia,,
SAMN42493165,SRS21995878,Estonia,,
SAMN42493166,SRS21995881,Estonia,,
SAMN42493167,SRS21995882,Estonia,,
SAMN42493168,SRS21995883,Estonia,,
SAMN42493169,SRS21995971,Estonia,,
SAMN42493170,SRS21995972,Estonia,,
SAMN42493171,SRS21995973,Estonia,,
SAMN42493172,SRS21995807,Estonia,,
SAMN42493173,SRS21995810,Estonia,,
SAMN42493174,SRS21995809,Estonia,,
SAMN42493175,SRS21995808,Estonia,,
SAMN42493176,SRS21995812,Estonia,,
SAMN42493177,SRS21995814,Estonia,,
SAMN42493178,SRS21995813,Estonia,,
SAMN42493179,SRS21995815,Estonia,,
SAMN42493180,SRS21995816,Estonia,,
SAMN42493181,SRS21995817,Estonia,,
SAMN42493182,SRS21995818,Estonia,,
SAMN42493183,SRS21995819,Estonia,,
SAMN42493184,SRS21995820,Estonia,,
SAMN42493185,SRS21995821,Estonia,,
SAMN42493186,SRS21995970,Estonia,,
SAMN42493187,SRS21995974,Estonia,,
SAMN42493188,SRS21995975,Estonia,,
SAMN42493189,SRS21995716,Estonia,,
SAMN42493190,SRS21995717,Estonia,,
SAMN42493191,SRS21995718,Estonia,,
SAMN42493192,SRS21995977,Estonia,,
SAMN42493193,SRS21995978,Estonia,,
SAMN42493194,SRS21995979,Estonia,,
SAMN42493195,SRS21995976,Estonia,,
SAMN42493196,SRS21995981,Estonia,,
SAMN42493197,SRS21995982,Estonia,,
SAMN42493198,SRS21995983,Estonia,,
SAMN42493199,SRS21995984,Montenegro,,
SAMN42493200,SRS21995985,Denmark,,
SAMN42493201,SRS21995705,Denmark,,
SAMN42493202,SRS21995706,Estonia,,
SAMN42493203,SRS21995707,Estonia,,
SAMN42493204,SRS21995708,Estonia,,
SAMN42493205,SRS21995709,Estonia,,
SAMN42493206,SRS21995711,Estonia,,
SAMN42493207,SRS21995712,Estonia,,
SAMN42493208,SRS21995713,Estonia,,
SAMN42493209,SRS21995714,Estonia,,
SAMN42493210,SRS21995715,Estonia,,
SAMN42493211,SRS21995989,Estonia,,
SAMN42493212,SRS21995719,Estonia,,
SAMN42493213,SRS21995720,Estonia,,
SAMN42493214,SRS21995897,Estonia,,
SAMN42493215,SRS21995887,Estonia,,
SAMN42493216,SRS21995889,Estonia,,
SAMN42493217,SRS21995890,Estonia,,
SAMN42493218,SRS21995891,Estonia,,
SAMN42493219,SRS21995892,Estonia,,
SAMN42493220,SRS21995893,Estonia,,
SAMN42493221,SRS21995894,United Kingdom,,
SAMN42493222,SRS21995895,United Kingdom,,
SAMN42493223,SRS21995900,United Kingdom,,
SAMN42493224,SRS21995899,Italy,,
SAMN42493229,SRS21995988,Switzerland,,
SAMN42493230,SRS21995990,Switzerland,,
SAMN42493231,SRS21995728,Estonia,,
SAMN42493232,SRS21995729,Estonia,,
SAMN42493233,SRS21995991,Estonia,,
SAMN42493234,SRS21995992,Estonia,,
SAMN42493235,SRS21995993,Estonia,,
SAMN42493236,SRS21995995,Estonia,,
SAMN42493237,SRS21995996,Estonia,,
SAMN42493238,SRS21995998,Estonia,,
SAMN42493239,SRS21995997,Estonia,,
SAMN42493240,SRS21995999,Estonia,,
SAMN42493241,SRS21996000,Estonia,,
SAMN42493242,SRS21996001,Estonia,,
SAMN42493243,SRS21995722,Estonia,,
SAMN42493244,SRS21995721,Estonia,,
SAMN42493245,SRS21995723,Estonia,,
SAMN42493246,SRS21995724,Estonia,,
SAMN42493247,SRS21995726,Estonia,,
SAMN42493248,SRS21995727,Estonia,,
SAMN42493249,SRS21996013,Estonia,,
SAMN42493250,SRS21996015,Estonia,,
SAMN42493251,SRS21996014,Estonia,,
SAMN42493252,SRS21996017,Estonia,,
SAMN42493253,SRS21996016,Estonia,,
SAMN42493254,SRS21995730,Estonia,,
SAMN42493255,SRS21995732,Estonia,,
SAMN42493256,SRS21995733,Estonia,,
SAMN42493257,SRS21995734,Estonia,,
SAMN42493258,SRS21995735,Estonia,,
SAMN42493259,SRS21995736,Estonia,,
SAMN42493260,SRS21996002,Greece,,
SAMN42493261,SRS21996003,Portugal,,
SAMN42493262,SRS21996004,China,,
SAMN42493263,SRS21996005,China,,
SAMN42493264,SRS21996006,China,,
SAMN42493265,SRS21996007,China,,
SAMN42493266,SRS21996009,Estonia,,
SAMN42493267,SRS21996012,Estonia,,
SAMN42493268,SRS21996011,Estonia,,
SAMN42493269,SRS21996010,Estonia,,
